low_pH,high_ph,avg_pH,ph_class,temp (C),result
5,6,5.5,1,32,Blackberry
4.5,5,4.75,1,32,Blueberry
4,5.5,4.75,1,33,Cranberry
5,7,6,3,34,Parsley
5,7.5,6.25,3,31,Peanut
4.5,6,5.25,1,32,Potato
5.5,6.5,6,2,31,Raspberry
5.5,6,5.75,1,30,Sweet potato
5,6.5,5.75,2,31,Apple
5.5,6.5,6,2,31,Basil
5.5,7,6.25,3,31,Carrot
5.5,7.5,6.5,3,29,Cauliflower
6,6.7,6.35,2,35,Chervil
5.5,7.5,6.5,3,31,Corn
5.5,7,6.25,2,29,Cucumber
5.5,6.5,6,2,28,Dill
5.5,6.5,6,2,29,Eggplant
5.5,7.5,6.5,3,26,Garlic
5.5,6.5,6,2,31,Melon
5,7,6,2,33,Parsley
5.5,7,6.25,2,32,Pepper
6,6.5,6.25,2,31,Pumpkin
6,6.7,6.35,2,27,Radicchio
6,7,6.5,2,28,Radish
5.5,7,6.25,2,29,Rhubarb
5.5,6,5.75,1,34,Sorrel
5.5,7,6.25,2,33,"Squash, winter"
5.5,6,5.75,1,33,Sweet potato
5.5,7.5,6.5,3,34,Tomato
5.5,7,6.25,2,34,Turnip
6.5,7.5,7,3,32,Artichoke
6.5,7.5,7,3,31,Arugula
6,8,7,3,30,Asparagus
6,7.5,6.75,3,30,"Bean, pole"
6,7,6.5,3,28,"Bean, lima"
6,7.5,6.75,3,29,Beet
6,7,6.5,2,29,Broccoli
6.5,7.5,7,3,28,Broccoli rabe
6,7.5,6.75,3,27,Brussels sprouts
6,7.5,6.75,3,32,Cabbage
6,7.5,6.75,3,33,Cantaloupe
6,7.5,6.5,3,34,Cauliflower
6,7,6.5,2,29,Celery
6,7.5,6.75,3,27,Chinese cabbage
6,7,6.5,2,29,Celeriac
6,7,6.5,2,28,Chive
6,6.7,6.35,2,28,Cilantro
6.5,7,6.75,2,28,Claytonia
6.5,7.5,7,3,29,Collard
6,7,6.5,2,29,Cress
6,7,6.5,2,31,Endive
6,6.7,6.35,2,33,Fennel
6.5,7.5,7,3,28,Gourd
6,7,6.5,2,32,Horseradish
6.7,7,6.85,2,29,Sunchoke
6,7.5,6.75,3,29,Kale
6,7.5,6.75,3,28,Kohlrabi
6,7.5,6.75,3,30,Mustard
6,7.5,6.75,3,33,Okra
6,7,6.5,2,31,Onion
6,7,6.5,2,32,Oregano
6,7,6.5,2,32,Radish
6,7.5,6.75,3,32,Spinach
6,7.5,6.75,3,29,Sunflower
6,7,6.5,2,27,Watermelon
5,7.5,6.25,3,30,Alpine strawberry
5.5,7,6.25,2,30,Carrot
5.5,7.5,6.5,3,30,Cauliflower
5.5,7.5,6.5,3,27,Corn
5.5,7,6.25,2,34,Cucumber
5.5,7.5,6.5,3,35,Garlic
5,7,6,2,35,Parsley
5,6.5,5.75,2,32,Peanut
5.5,7.5,6.5,2,29,Tomato